ID_REF	N1_SERUM	N2_SERUM	N3_SERUM	N4_SERUM	N5_SERUM	N6_SERUM	N7_SERUM	N8_SERUM	NS-1_SERUM	NS-10_SERUM	NS-2_SERUM	NS-3_SERUM	NS-4_SERUM	NS-5_SERUM	NS-6_SERUM	NS-7_SERUM	NS-8_SERUM	NS-9_SERUM	SE-1_SERUM	SE-10_SERUM	SE-11_SERUM	SE-12_SERUM	SE-13_SERUM	SE-14_SERUM	SE-15_SERUM	SE-2_SERUM	SE-3_SERUM	SE-4_SERUM	SE-5_SERUM	SE-6_SERUM	SE-7_SERUM	SE-8_SERUM	SE-9_SERUM	TESTIS-1_SERUM	TESTIS-2_SERUM	TESTIS-3_SERUM	Plate	miRNA_ID	assayID	Species	Subclass	Type
ath-miR159a-000338_A	16.93300056	17.53899956	17.29199982	17.12100029	17.54599953	17.80400085	17.48900032	18.24900055	16.83699989	16.29199982	16.76099968	14.88500023	16.68799973	17.14299965	17.31800079	17.4279995	17.6079998	16.66799927	16.50900078	17.89299965	17.95199966	18.40800095	16.22200012	17.87000084	18.24600029	16.23699951	16.49799919	17.03300095	16.91200066	17.38999939	17.88400078	16.79800034	17.99799919	16.87999916	19.36300087	19.53899956	A	ath-miR-159a	000338	Arabidopsis thaliana	micro-RNA	Target
ath-miR159a-000338_B	15.01599979	15.56499958	14.89900017	14.84899998	19.32299995	15.46899986	16.73600006	19.4640007	14.99100018	14.86299992	15.17800045	14.82800007	14.40400028	15.10200024	15.76099968	15.89999962	15.44999981	15.22500038	15.59399986	17.00699997	16.68600082	17.30699921	16.0890007	16.78499985	16.74500084	16.20700073	15.30300045	16.60199928	15.9119997	16.28800011		16.09600067	17.12100029	21.04500008	18.18400002	15.70100021	B	ath-miR-159a	000338	Arabidopsis thaliana	micro-RNA	Target
dme-miR-7-000268_B	29.60000038	27.49500084	30.32799911	33.08499908	33.24100113	29.77799988	32.20999908	31.0189991		30.05999947	32.81000137	28.41600037	29.00499916	30.17399979	33.61899948	34.07400131	33.10300064	28.27000046	29.71999931	31.48500061	30.83600044	27.04800034	27.53300095	29.01199913	29.81299973	28.54500008	30.59900093	30.4810009	31.97200012	32.56999969		28.98200035	30.99099922	28.76399994	30.46500015	30.31999969	B	dme-miR-7	000268	Drosophila melanogaster	micro-RNA	Target
hsa-let-7a#-002307_B			24.7840004				31.75																	34.02999878			35.69800186										B	hsa-let-7a#	002307	Human	micro-RNA	Target
hsa-let-7a-000377_A	28.6439991	26.375	28.3579998	34.36399841	25.15699959	26.15999985	24.57600021	27.10300064		29.04500008	28.03100014	28.86800003	26.71199989	28.32500076	31.0340004	29.26499939	32.9640007	29.58499908	23.41799927	26.37100029	24.77199936	26.73500061	21.32299995	24.34499931	28.47999954	23.6779995	23.1439991	24.47900009	23.95400047	28.17700005	23.9829998	24.64999962	25.31900024	32.81299973			A	hsa-let-7a	000377	Human	micro-RNA	Target
hsa-let-7b#-002404_B	32.06499863							32.45800018													32.58800125			36.38499832			32.375			32.43799973							B	hsa-let-7b#	002404	Human	micro-RNA	Target
hsa-let-7b-002619_A	24.89100075	21.81599998	26.30200005	28.35099983	24.05500031	23.19099998	21.89699936	23.79299927	25.76600075	24.64299965	23.68700027	20.71299934	23.16500092	25.06500053	25.38800049	25.86899948	29.10099983	21.8029995	23.29000092	24.06200027	23.84300041	21.57600021	19.85199928	24.16699982	25.00300026	22.70000076	22.32999992	22.33600044	22.37599945	25.93300056	22.3939991	22.3390007	23.95700073	23.6590004	26.0720005	31.30200005	A	hsa-let-7b	002619	Human	micro-RNA	Target
hsa-let-7c#-002405_B																																					B	hsa-let-7c#	002405	Human	micro-RNA	Target
hsa-let-7c-000379_A	28.18799973	27.79500008	29.32900047	30.46699905	27.85700035	27.72900009	26.94400024	27.4109993	29.82500076	30.93099976	29.27499962	28.18899918	30.32999992	30.05800056	29.06699944	28.09799957	30.73399925	27.96999931	27.50300026	27.54100037	26.7159996	26.22299957	25.57099915	27.1779995	26.8239994	28.44499969	27.02599907	27.78000069	28.07500076	29.58200073	26.55200005	28.02899933	27.52899933	29.9810009	33.36500168		A	hsa-let-7c	000379	Human	micro-RNA	Target
hsa-let-7d-002283_A	26.55500031	27.30400085	28.27700043	30.2159996	27.17399979	26.81200027	25.81599998	26.86300087	29.48999977	26.58300018	26.15699959	25.54599953	25.52000046	26.02899933	27.64299965	26.25900078	26.97800064	25.66900063	25.68300056	26.92399979	26.62100029	26.93600082	23.72699928	26.32299995	27.2310009	25.77599907	25.40299988	26.1060009	26.24699974	28.22299957	25.41799927	25.97699928	26.96699905	28.09700012	28.18199921	31.7840004	A	hsa-let-7d	002283	Human	micro-RNA	Target
